freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   295.433313  9.35361e-25     1421.056 
   296.004278  5.97144e-24      992.776 
   296.168710  3.55696e-22      226.817 
   296.535490  4.86272e-22      210.144 
   296.805979  8.24289e-24      867.340 
   297.257007  1.07989e-23      838.675 
   297.604898  1.89618e-28     3284.685 
   297.718153  2.17310e-26     2257.386 
   297.782570  7.41275e-23      182.803 
   298.576308  2.55670e-22       25.518 
   299.316816  4.54548e-22      126.933 
   299.613076  3.75993e-24     1059.605 
   300.273416  3.23132e-22      350.500 
   301.896629  2.85417e-22      116.862 
   302.146069  1.54127e-24     1271.108 
   302.236226  6.73410e-23      275.255 
   303.117123  8.53059e-25      924.806 
   303.728906  1.83603e-26     1835.101 
   304.409076  5.69219e-25     1501.813 
   304.886919  9.83285e-28     2940.155 
   305.484703  2.35765e-24      640.029 
   306.098237  5.92897e-24      350.500 
   306.303750  5.14967e-23      387.074 
   306.329817  8.56997e-25     1265.480 
   306.404443  1.89880e-25     1751.682 
   306.738850  2.74207e-23       50.295 
   307.015147  8.45433e-26     1972.979 
   307.185305  2.31995e-22      499.482 
   307.332520  2.63803e-28     2754.594 
   308.133103  5.72769e-26     2020.671 
   308.232622  2.88323e-24      603.692 
   309.548806  2.68027e-24      299.932 
   309.594965  1.56451e-26     2308.735 
   310.017205  3.41570e-23      518.241 
   310.058892  1.41507e-25     1369.224 
   310.789127  3.87507e-27     2615.825 
   310.851394  7.22569e-25      970.761 
   311.078891  3.50332e-26     1677.702 
   311.714023  8.70722e-28     2941.888 
   311.975508  2.89520e-25     1707.687 
   312.145954  4.63532e-27     2614.565 
   312.258421  6.37352e-23      100.778 
   312.367497  1.77738e-28     3286.869 
   312.542518  5.40480e-22      179.191 
   313.279718  2.28812e-22        8.747 
   313.404008  1.99517e-23      668.737 
   313.412282  1.49169e-22      269.669 
   313.660850  8.78374e-22       84.118 
   313.900733  4.10279e-24      420.745 
   314.922721  3.74093e-24      246.236 
   315.395237  6.23705e-25       22.727 
   315.445064  8.67520e-29     3176.130 
   316.099010  4.77067e-22      152.578 
   316.481031  1.03629e-23      838.535 
   317.250395  7.97038e-23      170.647 
   318.011190  1.11527e-27     2475.620 
   318.088681  8.15604e-24      959.134 
   318.238151  2.00253e-23      747.307 
   318.741353  1.64240e-28     3345.286 
   319.260772  4.81259e-24     1027.607 
   319.277053  2.10029e-22      561.844 
   319.698703  1.73013e-22      616.467 
   320.087859  2.47388e-24     1234.618 
   320.475689  5.84762e-24      138.227 
   320.699382  2.00069e-26     2307.969 
   321.330165  9.39462e-22       94.581 
   321.420531  4.42873e-23      561.772 
   321.751389  2.00715e-24     1235.921 
   321.782612  7.57145e-23      259.895 
   322.438482  2.98868e-24     1197.220 
   322.475413  8.72729e-23      402.555 
   323.026461  3.46720e-22       38.026 
   323.093852  9.14912e-24      902.833 
   323.526415  2.83909e-22      154.658 
   323.958411  7.54014e-25     1463.443 
   324.517411  4.48931e-28     2649.412 
   324.780917  2.50080e-25     1234.462 
   325.163843  3.82542e-27     2177.123 
   325.885272  2.55611e-25     1710.133 
   325.901040  5.97557e-23      368.510 
   325.960301  1.81251e-23       45.185 
   326.178885  8.62937e-28     2997.640 
   326.412431  2.32370e-24      539.568 
   326.799203  6.92595e-26     1807.117 
   326.867493  5.85840e-22      150.973 
   327.216816  2.58511e-22      509.729 
   327.282245  3.15703e-27     2444.305 
   327.306399  7.73890e-26     2020.426 
   327.533926  7.83392e-26     1975.950 
   327.760720  2.01316e-24      696.368 
   328.905181  2.17410e-26     2260.849 
   329.064116  1.33838e-26     1929.950 
   329.645919  4.06518e-23      496.476 
   329.689298  1.45071e-22      673.522 
   329.998964  5.46738e-27     2564.781 
   330.551091  9.77866e-25     1461.516 
   330.814471  1.24790e-27     2887.693 
   331.350264  2.58571e-28     3229.531 
   331.580204  6.07826e-23       92.468 
   332.091431  3.10870e-22      141.501 
   332.505242  2.65693e-22       10.659 
   333.043438  2.42761e-23      643.771 
   333.360324  1.72417e-24     1187.313 
   333.984734  5.51289e-24     1061.819 
   334.273864  5.84224e-25     1039.974 
   334.385373  4.14075e-27     2668.924 
   334.541544  1.08537e-25     1451.277 
   334.673352  1.85088e-22       18.825 
   334.761225  1.18544e-24      858.610 
   335.487881  3.69725e-26     1666.511 
   335.773187  6.46665e-24      310.258 
   335.944750  9.59355e-25      847.404 
   336.089226  4.93037e-22      180.632 
   336.113519  1.28641e-23      810.372 
   336.669577  8.37297e-23      159.134 
   338.305992  6.14015e-22      125.498 
   338.611808  5.92897e-22      126.933 
   338.869760  6.08666e-24      996.250 
   338.956048  2.35494e-25     1223.155 
   339.149240  3.68027e-24      466.519 
   339.259587  3.59153e-24      550.456 
   339.848382  1.40533e-28     3406.521 
   339.890921  8.56208e-25     1502.692 
   340.316405  3.87864e-22      260.960 
   340.457426  6.16566e-27     2085.319 
   341.136395  2.83321e-25     1751.967 
   341.275521  8.36333e-23      245.178 
   341.321936  2.58392e-24     1201.375 
   341.323278  7.05309e-24      969.745 
   341.403066  2.18615e-22      550.456 
   341.673958  3.20390e-22      460.195 
   341.838297  1.79672e-26     2359.199 
   342.634964  3.51868e-24      281.446 
   342.761623  3.30506e-22      393.023 
   343.476755  9.87369e-25     1425.712 
   345.148970  8.06825e-24       40.715 
   345.338539  4.52563e-22       53.108 
   345.338786  3.40314e-25     1669.223 
   345.448982  6.83092e-23      350.590 
   346.523878  6.18556e-22      102.750 
   346.652167  1.11142e-21      105.299 
   346.910966  1.05994e-25     1931.867 
   347.829192  3.08091e-24     1111.964 
   347.830813  7.68386e-28     2585.485 
   347.915068  7.50204e-28     3055.761 
   348.195005  2.98868e-26     2213.598 
   348.387796  3.34949e-22      191.843 
   348.633354  1.54625e-25       13.313 
   349.191653  7.63624e-27     2514.370 
   349.227057  4.77397e-23      475.353 
   349.783318  1.23760e-22      732.935 
   349.900872  1.77002e-27     2834.129 
   350.110292  4.91676e-24     1039.446 
   350.321940  3.72460e-28     3172.822 
   350.862753  5.50148e-23       84.799 
   351.257224  3.09371e-22       13.226 
   351.873873  5.96457e-22       82.698 
   352.638992  2.91796e-23      619.448 
   353.111916  7.23235e-26     2068.508 
   354.084118  1.70679e-24      755.031 
   355.045516  5.47998e-22       65.306 
   355.155033  2.67842e-24      338.653 
   355.186494  4.70521e-24      113.336 
   355.580711  5.86110e-26     1587.894 
   355.705491  1.57826e-23      782.851 
   355.801794  3.63730e-27     2723.925 
   356.040640  8.57787e-23      148.263 
   356.755189  4.74875e-22       50.538 
   356.930236  2.52510e-25     1796.928 
   357.165360  5.84628e-22       73.551 
   357.241190  6.32673e-22       92.118 
   357.387570  5.17582e-22       57.550 
   357.581448  3.78686e-22       38.368 
   357.671780  4.30506e-22       44.115 
   357.892442  3.21869e-22       33.247 
   357.925960  2.58095e-22       28.776 
   357.962890  6.63100e-22      113.244 
   358.013090  1.86243e-22       24.942 
   358.038080  1.02868e-22       21.750 
   358.215640  1.19311e-21      116.862 
   358.345393  9.68901e-27     2027.087 
   358.441909  7.61341e-24      965.536 
   359.151156  5.01972e-22      211.076 
   359.770682  6.77765e-22      136.917 
   360.290400  3.96442e-22      413.312 
   360.721825  9.07986e-23      231.104 
   360.859234  3.29063e-24     1167.470 
   361.199932  1.19064e-28     3468.389 
   361.721947  4.69223e-25     1111.501 
   362.023046  2.22679e-24     1311.269 
   362.965418  1.27932e-24     1388.622 
   363.008445  8.26950e-26     1535.632 
   363.159258  6.79015e-22      163.123 
   363.890896  3.12090e-22      182.843 
   363.925838  3.30354e-22      168.493 
   364.766088  4.48414e-25     1628.952 
   364.950084  7.69802e-23      333.313 
   365.748673  1.62061e-26     2411.066 
   366.214471  5.74089e-22       70.722 
   366.265161  1.41997e-25     1888.420 
   367.465231  4.06892e-26     2166.983 
   367.659123  3.26347e-24      514.629 
   367.808977  2.07768e-28     2870.139 
   368.330907  4.74110e-24     1133.543 
   368.367867  1.05628e-26     2464.592 
