freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   261.589768  2.80465e-26     1672.681 
   261.814648  1.44138e-25     1778.852 
   261.997976  3.48000e-27     2152.019 
   262.084086  3.45843e-24      483.069 
   262.325170  2.97906e-25     1071.226 
   262.833407  3.02259e-25     1132.710 
   263.161640  4.49966e-25     1527.878 
   263.263571  6.64782e-27     1970.815 
   263.436071  2.57798e-22      403.443 
   263.877199  5.22011e-25     1262.325 
   264.682896  1.09265e-22      234.333 
   265.032475  3.23355e-24     1083.066 
   265.163938  1.28345e-24      774.076 
   265.429646  5.46361e-26     1487.442 
   265.488686  3.90462e-22      243.162 
   265.554054  1.68919e-22       15.540 
   265.567011  8.94086e-28     2862.751 
   266.414210  2.01734e-24      656.899 
   266.469799  3.72117e-24      182.063 
   267.094144  4.69439e-24      391.625 
   267.871060  3.65409e-22       82.513 
   267.883845  3.95621e-27     2542.421 
   269.957222  1.58884e-26     2240.932 
   270.151963  4.62678e-27     2079.480 
   270.229671  3.10370e-22      309.281 
   270.997262  2.98387e-24      532.227 
   271.111258  3.46561e-26     1646.288 
   271.176375  4.99320e-28     3029.514 
   271.410221  2.41813e-22       94.171 
   271.787036  5.78734e-26     1958.337 
   271.916828  3.07383e-23       55.049 
   272.126583  7.40081e-25      921.809 
   272.289068  1.35076e-24     1295.918 
   272.363872  4.59705e-24      334.820 
   272.625741  1.41540e-24       34.438 
   272.789537  2.49448e-24      262.418 
   273.372027  1.90932e-25     1694.683 
   273.929987  5.56518e-23      108.134 
   273.989189  2.34196e-27     2699.754 
   274.709684  5.69875e-25     1450.016 
   274.940951  6.02808e-24      164.876 
   275.434221  6.31654e-23      180.463 
   275.795999  1.53596e-24     1224.376 
   275.913733  2.33550e-25     1207.531 
   276.129271  1.04467e-24      836.082 
   276.484003  5.63741e-23      272.028 
   276.625176  3.73146e-24     1017.803 
   276.769866  9.99722e-27     2388.825 
   276.999607  1.29384e-22       10.798 
   277.150596  4.23818e-23      382.816 
   277.188904  8.14478e-24      830.330 
   277.470085  2.76554e-23      512.811 
   277.475991  1.59103e-23      661.990 
   278.835213  7.26908e-23      358.750 
   279.075255  3.98455e-22      103.224 
   279.429977  6.46516e-22       65.014 
   280.046690  2.08872e-25     1230.722 
   280.365998  3.90462e-26     2096.779 
   280.407884  4.40027e-22      209.521 
   280.688287  2.56141e-24      601.701 
   281.237334  7.15780e-24      921.505 
   282.075999  2.71944e-28     3145.251 
   282.338135  1.26584e-23      773.503 
   282.739067  5.39237e-24      349.319 
   282.739529  1.37334e-25     1823.668 
   283.183557  6.87036e-22       74.335 
   284.555084  2.47445e-27     2254.592 
   284.657171  2.42873e-22      449.591 
   284.748030  1.30280e-27     2809.273 
   285.178697  2.40646e-22      128.271 
   285.364585  4.15125e-23      509.388 
   286.245678  2.58511e-24      583.690 
   287.166927  5.66865e-27     2492.090 
   287.264888  1.26555e-24     1334.435 
   287.661928  6.34131e-28     2529.488 
   288.537333  3.60728e-24      212.454 
   289.332964  2.23861e-26     2193.756 
   289.424419  4.51938e-25     1569.530 
   290.454143  2.09160e-23      686.222 
   291.145988  2.44500e-23       49.309 
   291.209471  4.21676e-24      375.743 
   291.245218  8.01455e-26     1914.323 
   292.171632  2.57917e-26     1736.150 
   292.257226  2.42314e-22       25.432 
   292.287083  4.43894e-28     3087.509 
   292.654871  4.67928e-26     1583.405 
   292.901559  2.59824e-25     1653.838 
   293.122934  4.05676e-22      103.224 
   293.296991  5.58058e-23       99.198 
   293.395535  8.57392e-25      900.379 
   293.481704  4.26854e-22      126.368 
   294.042436  2.35874e-24      488.231 
   294.298516  7.61692e-25     1412.344 
   294.903890  6.85929e-23      168.328 
   295.075095  1.02773e-24      855.979 
   295.173366  1.82297e-25     1284.631 
   295.267576  2.11387e-27     2754.628 
   295.431054  2.01595e-24     1189.885 
   296.045247  6.40884e-23      256.693 
   296.292144  4.80484e-24      986.496 
   296.499638  4.89530e-22      178.569 
   296.772561  4.98057e-23      364.283 
   296.872291  1.02820e-23      802.212 
   297.133379  3.33871e-23      491.080 
   297.158431  1.96643e-23      637.064 
   297.804119  9.39895e-24      889.223 
   298.256832  2.34142e-22      162.303 
   298.752144  9.19347e-27     2440.568 
   298.900671  4.12458e-27     2329.631 
   299.367539  5.55494e-24      137.783 
   300.049246  2.71069e-22      116.359 
   300.433175  6.18841e-25       22.662 
   301.131952  3.97905e-28     3089.263 
   301.724779  3.62476e-26     2145.385 
   302.121921  1.18326e-24     1184.062 
   303.139752  3.52760e-22      225.946 
   303.911653  1.87447e-27     2756.427 
   304.332032  2.12608e-22        8.507 
   305.168306  3.22092e-24      548.748 
   306.429450  8.02009e-27     2442.393 
